"no","generasi","pertanyaan","pertanyaan_ner","lapis_terjemahan","sql_asli_1baris","sql_dipakai_1baris","error"
"11","v1","""tampilkan tren data hasil pengawasan iklan pangan (mk/tmk) pada rentang tahun 2025 berdasarkan hasil verifikasi upt""","""tampilkan tren data hasil pengawasan iklan pangan (mk/tmk) pada rentang tahun <YEAR> berdasarkan hasil verifikasi upt""","relasi vw_pengawasan_v2→mv_pengawasan","select extract(month from tgl_end) as bulan, extract(year from tgl_end) as tahun, kesimpulan_penilaian_balai, count(*) jumlah_pengawasan from vw_pengawasan_v2 where kesimpulan_penilaian_balai != '' and extract(year from tgl_end) = 2025 group by extract(month from tgl_end), extract(year from tgl_end), kesimpulan_penilaian_balai order by kesimpulan_penilaian_balai, extract(month from tgl_end), extract(year from tgl_end)","select extract(month from tgl_end) as bulan, extract(year from tgl_end) as tahun, kesimpulan_penilaian_balai, count(*) jumlah_pengawasan from mv_pengawasan where kesimpulan_penilaian_balai != '' and extract(year from tgl_end) = 2025 group by extract(month from tgl_end), extract(year from tgl_end), kesimpulan_penilaian_balai order by kesimpulan_penilaian_balai, extract(month from tgl_end), extract(year from tgl_end)",""
"12","v1","tampilkan data berapa jumlah iklan obat tradisional; suplemen kesehatan; obat kuasi yang dilaporkan oleh upt dengan hasil verifikasi pusat mk/tmk.","tampilkan data berapa jumlah iklan <COMMODITY NAME>; <COMMODITY NAME>; <COMMODITY NAME> yang dilaporkan oleh upt dengan hasil verifikasi pusat mk/tmk.","relasi vw_pengawasan_v2→mv_pengawasan","SELECT COUNT(*) FROM vw_pengawasan_v2 WHERE lower(komoditi) IN ('obat tradisional (ot)', 'suplemen kesehatan', 'obat kuasi') AND kesimpulan_penilaian_pusat = 'TMK';","SELECT COUNT(*) FROM mv_pengawasan WHERE lower(komoditi) IN ('obat tradisional (ot)', 'suplemen kesehatan', 'obat kuasi') AND kesimpulan_penilaian_pusat = 'TMK';",""
"13","v1","tampilkan data iklan yang dilaporkan mk/tmk dari masing-masing upt yang dikategorikan berdasarkan nama produk, sarana produksi, media publikasi, dan klaim dalam promosi/iklan dengan status selesai pad","tampilkan data iklan yang dilaporkan <CLASSIFICATION> dari masing-masing upt yang dikategorikan berdasarkan <PRODUCT NAME>, <FACILITY TYPE>, <CLASSIFICATION>, dan klaim dalam promosi/iklan dengan <CON","relasi vw_pengawasan_v2→mv_pengawasan","SELECT nama_balai, nama_produk, SUM(CASE WHEN kesimpulan_penilaian_akhir = 'MK' THEN 1 ELSE 0 END) AS jumlah_mk, SUM(CASE WHEN kesimpulan_penilaian_akhir = 'TMK' THEN 1 ELSE 0 END) AS jumlah_tmk FROM vw_pengawasan_v2 WHERE tgl_start >= '2024-06-10' AND tgl_end <= '2025-06-20' AND kesimpulan_penilaian_akhir IS NOT NULL AND kesimpulan_penilaian_akhir <> '' GROUP BY nama_balai, nama_produk ORDER BY nama_balai, nama_produk;","SELECT nama_balai, nama_produk, SUM(CASE WHEN kesimpulan_penilaian_akhir = 'MK' THEN 1 ELSE 0 END) AS jumlah_mk, SUM(CASE WHEN kesimpulan_penilaian_akhir = 'TMK' THEN 1 ELSE 0 END) AS jumlah_tmk FROM mv_pengawasan WHERE tgl_start >= '2024-06-10' AND tgl_end <= '2025-06-20' AND kesimpulan_penilaian_akhir IS NOT NULL AND kesimpulan_penilaian_akhir <> '' GROUP BY nama_balai, nama_produk ORDER BY nama_balai, nama_produk;",""
"14","v1","tampilkan data ketepatan waktu pelaporan oleh upt yang dihitung berdasarkan laporan yang dikirimkan tanggal kepala balai sebelum batas tanggal 9 bulan berikutnya.","tampilkan data ketepatan waktu pelaporan oleh upt yang dihitung berdasarkan laporan yang dikirimkan tanggal kepala balai sebelum batas tanggal <MONTH>.","relasi vw_pengawasan_v2→mv_pengawasan","SELECT nama_balai, tgl_start , (DATE_TRUNC('month', tgl_end) + INTERVAL '1 month' + INTERVAL '8 days')::date AS batas_waktu_pelaporan, CASE -- Check if tanggal_start is on or before the 9th day of the next month WHEN tgl_start <= (DATE_TRUNC('month', tgl_end) + INTERVAL '1 month' + INTERVAL '8 days')::date THEN 'Tepat Waktu' ELSE 'Terlambat' END AS status_ketepatan_waktu, count(*) FROM public.vw_pengawasan_v2 -- Pastikan ini adalah view/tabel yang benar GROUP BY 1,2,3, 4","SELECT nama_balai, tgl_start , (DATE_TRUNC('month', tgl_end) + INTERVAL '1 month' + INTERVAL '8 days')::date AS batas_waktu_pelaporan, CASE -- Check if tanggal_start is on or before the 9th day of the next month WHEN tgl_start <= (DATE_TRUNC('month', tgl_end) + INTERVAL '1 month' + INTERVAL '8 days')::date THEN 'Tepat Waktu' ELSE 'Terlambat' END AS status_ketepatan_waktu, count(*) FROM mv_pengawasan -- Pastikan ini adalah view/tabel yang benar GROUP BY 1,2,3, 4",""
"15","v1","tampilkan data label dengan tanggal sampling pada bulan januari 2025 yang dilaporkan ke pusat melewati batas waktu tanggal 15 februari 2025 (data label tidak tepat waktu).","tampilkan data label dengan tanggal sampling pada bulan <MONTH> <YEAR> yang dilaporkan ke pusat melewati batas waktu tanggal 15 <MONTH> <YEAR> (data label tidak tepat waktu).","relasi vw_pengawasan_v2→mv_pengawasan","SELECT * -- Select all columns for the specific label data FROM public.vw_pengawasan_v2 WHERE tgl_start >= '2025-01-01'::date -- Sampling in January 2025 (start) AND tgl_start <= '2025-01-31'::date -- Sampling in January 2025 (end) AND tgl_end > '2025-02-15'::date; -- Report sent AFTER February 15, 2025 (untimely)","SELECT * -- Select all columns for the specific label data FROM mv_pengawasan WHERE tgl_start >= '2025-01-01'::date -- Sampling in January 2025 (start) AND tgl_start <= '2025-01-31'::date -- Sampling in January 2025 (end) AND tgl_end > '2025-02-15'::date; -- Report sent AFTER February 15, 2025 (untimely)","ERROR: syntax error at or near "";"""
"16","v1","tampilkan data label yang dilaporkan mk/tmk dari masing-masing upt yang dikategorikan berdasarkan nama produk, jenis pangan, kategori pangan, produsen, kabupaten/provinsi produsen, pada rentang waktu ","tampilkan data label yang dilaporkan <CONCLUSION TYPE> dari masing-masing upt yang dikategorikan berdasarkan <PRODUCT NAME>, <COMMODITY NAME>, <CLASSIFICATION>, <COMPANY NAME>, <REGENCY NAME>/<PROVINC","relasi vw_pengawasan_v2→mv_pengawasan","SELECT nama_produk, lower(komoditi), pendaftar, nama_balai FROM public.vw_pengawasan_v2 WHERE tgl_start >= '2025-01-01' AND tgl_end <= '2025-12-31' GROUP BY nama_produk, lower(komoditi), pendaftar, nama_balai;","SELECT nama_produk, lower(komoditi), pendaftar, nama_balai FROM mv_pengawasan WHERE tgl_start >= '2025-01-01' AND tgl_end <= '2025-12-31' GROUP BY nama_produk, lower(komoditi), pendaftar, nama_balai;",""
"17","v1","tampilkan data upt yang tidak melaporkan iklan obat tradisional; suplemen kesehatan; obat kuasi.","tampilkan data upt yang tidak melaporkan <COMMODITY NAME>; <COMMODITY NAME>; <COMMODITY NAME>.","relasi vw_pengawasan_v2→mv_pengawasan","SELECT DISTINCT nama_balai FROM public.vw_pengawasan_v2 WHERE lower(komoditi) NOT IN ('obat tradisional (ot)', 'suplemen kesehatan', 'obat kuasi');","SELECT DISTINCT nama_balai FROM mv_pengawasan WHERE lower(komoditi) NOT IN ('obat tradisional (ot)', 'suplemen kesehatan', 'obat kuasi');",""
"18","v1","tampilkan jumlah iklan tepat waktu yang telah dikirimkan ke pusat pada upt [nama upt] pada rentang waktu 2025 (ketentuan : hasil pengawasan iklan dikirimkan ke pusat maksimal tanggal 10 bulan berikutn","tampilkan jumlah iklan tepat waktu yang telah dikirimkan ke pusat pada upt [nama upt] pada rentang waktu <YEAR> (ketentuan : hasil pengawasan iklan dikirimkan ke pusat maksimal tanggal 10 bulan beriku","relasi vw_pengawasan_v2→mv_pengawasan","SELECT CASE WHEN tgl_end <= (DATE_TRUNC('month', tgl_start) + INTERVAL '1 month' + INTERVAL '9 days')::date THEN 'Tepat Waktu' ELSE 'Terlambat' END AS status_ketepatan_waktu, count(*) FROM public.vw_pengawasan_v2 WHERE lower(nama_balai) like '%jakarta%' AND EXTRACT(YEAR FROM tgl_start) = 2025 -- Filter for the year 2025 GROUP BY 1;","SELECT CASE WHEN tgl_end <= (DATE_TRUNC('month', tgl_start) + INTERVAL '1 month' + INTERVAL '9 days')::date THEN 'Tepat Waktu' ELSE 'Terlambat' END AS status_ketepatan_waktu, count(*) FROM mv_pengawasan WHERE lower(nama_balai) like '%jakarta%' AND EXTRACT(YEAR FROM tgl_start) = 2025 -- Filter for the year 2025 GROUP BY 1;",""
"19","v1","tampilkan jumlah label tepat waktu yang telah dikirimkan ke pusat pada upt dengan nama 'balai pom di jakarta' pada rentang periode 2025 (ketentuan : hasil pengawasan label dikirimkan ke pusat maksimal","tampilkan jumlah label tepat waktu yang telah dikirimkan ke pusat pada upt dengan nama '<HALL NAME>' pada rentang periode <YEAR> (ketentuan : hasil pengawasan label dikirimkan ke pusat maksimal tangga","relasi vw_pengawasan_v2→mv_pengawasan","SELECT CASE WHEN tgl_end <= (DATE_TRUNC('month', tgl_start) + INTERVAL '1 month' + INTERVAL '14 days')::date THEN 'Tepat Waktu' ELSE 'Terlambat' END AS status_ketepatan_waktu, count(*) FROM public.vw_pengawasan_v2 WHERE lower(nama_balai) like '%jakarta%' AND EXTRACT(YEAR FROM tgl_start) = 2025 -- Filter for the year 2025 GROUP BY 1;","SELECT CASE WHEN tgl_end <= (DATE_TRUNC('month', tgl_start) + INTERVAL '1 month' + INTERVAL '14 days')::date THEN 'Tepat Waktu' ELSE 'Terlambat' END AS status_ketepatan_waktu, count(*) FROM mv_pengawasan WHERE lower(nama_balai) like '%jakarta%' AND EXTRACT(YEAR FROM tgl_start) = 2025 -- Filter for the year 2025 GROUP BY 1;",""
"20","v1","tampilkan persentase media iklan (dibandingkan seluruh iklan yang diawasi pada rentang waktu tertentu) yang diawasi pada upt dengan nama 'balai pom di jakarta' pada rentang waktu antara tanggal '2025-","tampilkan persentase media iklan (dibandingkan seluruh iklan yang diawasi pada rentang waktu tertentu) yang diawasi pada upt dengan nama '<HALL NAME>' pada rentang waktu antara tanggal '2025-01-01' da","relasi vw_pengawasan_v2→mv_pengawasan","SELECT media_iklan, count(*) FROM vw_pengawasan_v2 vpv WHERE lower(nama_balai) like '%jakarta%' AND EXTRACT(YEAR FROM tgl_start) = 2025 -- Filter for the year 2025 GROUP BY media_iklan","SELECT media_iklan, count(*) FROM mv_pengawasan vpv WHERE lower(nama_balai) like '%jakarta%' AND EXTRACT(YEAR FROM tgl_start) = 2025 -- Filter for the year 2025 GROUP BY media_iklan",""
"21","v1","tampilkan rekapitulasi jumlah laporan pengawasan iklan obat masing-masing upt yang telah dikirim ke pusat (berdasarkan tanggal kepala balai) pada periode waktu antara tanggal mulai 20 Juni 2024 hingga","tampilkan rekapitulasi jumlah laporan pengawasan iklan obat masing-masing upt yang telah dikirim ke pusat (berdasarkan tanggal kepala balai) pada periode waktu antara tanggal mulai 20 <MONTH> <YEAR> h","relasi vw_pengawasan_v2→mv_pengawasan","SELECT nama_balai, COUNT(*) AS jumlah_laporan_dikirim FROM public.vw_pengawasan_v2 vpv WHERE tgl_end >= '2024-06-20'::date AND tgl_end <= '2024-06-30'::date AND lower(komoditi) LIKE 'obat' GROUP BY nama_balai, komoditi ORDER BY count(*);","SELECT nama_balai, COUNT(*) AS jumlah_laporan_dikirim FROM mv_pengawasan vpv WHERE tgl_end >= '2024-06-20'::date AND tgl_end <= '2024-06-30'::date AND lower(komoditi) LIKE 'obat' GROUP BY nama_balai, komoditi ORDER BY count(*);",""
"22","v1","tampilkan rekapitulasi jumlah laporan pengawasan iklan obat tradisional; suplemen kesehatan; obat kuasi masing-masing upt yang telah dikirim ke pusat (berdasarkan tanggal kepala balai) pada periode wa","tampilkan rekapitulasi jumlah laporan pengawasan iklan <COMMODITY NAME>; <COMMODITY NAME>; <COMMODITY NAME> masing-masing upt yang telah dikirim ke pusat (berdasarkan tanggal kepala balai) pada period","relasi vw_pengawasan_v2→mv_pengawasan","SELECT nama_balai, SUM(CASE WHEN komoditi = 'OBAT TRADISIONAL (OT)' THEN 1 ELSE 0 END) AS jumlah_obat_tradisional, SUM(CASE WHEN komoditi = 'SUPLEMEN KESEHATAN' THEN 1 ELSE 0 END) AS jumlah_suplemen_kesehatan, SUM(CASE WHEN komoditi = 'OBAT KUASI' THEN 1 ELSE 0 END) AS jumlah_obat_kuasi, COUNT(*) AS total_laporan FROM vw_pengawasan_v2 -- atau tabel/view yang sesuai WHERE kesimpulan_penilaian_pusat != '' -- Filter 2: Hanya untuk kategori produk yang relevan AND komoditi IN ('OBAT TRADISIONAL (OT)', 'SUPLEMEN KESEHATAN', 'OBAT KUASI') AND tgl_start = tgl_end - interval '14 days' GROUP BY nama_balai ORDER BY nama_balai;","SELECT nama_balai, SUM(CASE WHEN komoditi = 'OBAT TRADISIONAL (OT)' THEN 1 ELSE 0 END) AS jumlah_obat_tradisional, SUM(CASE WHEN komoditi = 'SUPLEMEN KESEHATAN' THEN 1 ELSE 0 END) AS jumlah_suplemen_kesehatan, SUM(CASE WHEN komoditi = 'OBAT KUASI' THEN 1 ELSE 0 END) AS jumlah_obat_kuasi, COUNT(*) AS total_laporan FROM mv_pengawasan -- atau tabel/view yang sesuai WHERE kesimpulan_penilaian_pusat != '' -- Filter 2: Hanya untuk kategori produk yang relevan AND komoditi IN ('OBAT TRADISIONAL (OT)', 'SUPLEMEN KESEHATAN', 'OBAT KUASI') AND tgl_start = tgl_end - interval '14 days' GROUP BY nama_balai ORDER BY nama_balai;",""
"23","v1","tampilkan rekapitulasi jumlah laporan pengawasan iklan pangan masing-masing upt yang telah dikirim ke pusat pada periode waktu antara tanggal 1 januari 2023 dan 31 desember 2025.","tampilkan rekapitulasi jumlah laporan pengawasan iklan pangan masing-masing upt yang telah dikirim ke pusat pada periode waktu antara tanggal 1 januari <YEAR> dan 31 desember <YEAR>.","relasi vw_pengawasan_v2→mv_pengawasan","SELECT nama_balai, COUNT(*) AS jumlah_laporan FROM vw_pengawasan_v2 WHERE tgl_start >= '2023-01-01' AND tgl_end <= '2025-12-31' GROUP BY nama_balai;","SELECT nama_balai, COUNT(*) AS jumlah_laporan FROM mv_pengawasan WHERE tgl_start >= '2023-01-01' AND tgl_end <= '2025-12-31' GROUP BY nama_balai;",""
"24","v1","tampilkan rekapitulasi jumlah laporan pengawasan label pangan masing-masing upt yang telah dikirim ke pusat pada periode waktu antara tanggal mulai dan tanggal selesai 2 minggu","tampilkan <PURPOSE TYPE> masing-masing upt yang telah dikirim ke pusat pada periode waktu antara tanggal mulai dan tanggal selesai 2 minggu","relasi vw_pengawasan_v2→mv_pengawasan","SELECT nama_balai, COUNT(*) AS jumlah_laporan FROM vw_pengawasan_v2 WHERE tgl_start >= '2025-07-15' AND tgl_start <= '2025-07-29' GROUP BY nama_balai;","SELECT nama_balai, COUNT(*) AS jumlah_laporan FROM mv_pengawasan WHERE tgl_start >= '2025-07-15' AND tgl_start <= '2025-07-29' GROUP BY nama_balai;",""
"25","v1","tampilkan tren data hasil pengawasan iklan obat pada rentang tahun 2024-2025 berdasarkan hasil verifikasi pusat mk/tmk.","tampilkan tren data hasil pengawasan iklan obat pada rentang tahun <YEAR>-<YEAR> berdasarkan hasil verifikasi pusat mk/tmk.","relasi vw_pengawasan_v2→mv_pengawasan","SELECT kesimpulan_penilaian_pusat, COUNT(*) AS jumlah FROM public.vw_pengawasan_v2 WHERE tgl_start BETWEEN '2024-01-01' AND '2025-01-01' GROUP BY kesimpulan_penilaian_pusat ORDER BY jumlah DESC;","SELECT kesimpulan_penilaian_pusat, COUNT(*) AS jumlah FROM mv_pengawasan WHERE tgl_start BETWEEN '2024-01-01' AND '2025-01-01' GROUP BY kesimpulan_penilaian_pusat ORDER BY jumlah DESC;",""
"26","v1","tampilkan visualisasi data berupa urutan data yang paling besar iklan yang dilaporkan mk/tmk dari masing-masing upt berdasarkan nama produk, jenis pangan, produsen, kabupaten/provinsi produsen, media ","tampilkan visualisasi data berupa urutan data yang paling besar <PRODUCT NAME> yang dilaporkan mk/tmk dari masing-masing upt berdasarkan nama produk, jenis pangan, produsen, kabupaten/provinsi produse","relasi vw_pengawasan_v2→mv_pengawasan","SELECT nama_balai, nama_produk, media_iklan, komoditi, SUM(CASE WHEN kesimpulan_penilaian_akhir = 'MK' THEN 1 ELSE 0 END) AS jumlah_mk, SUM(CASE WHEN kesimpulan_penilaian_akhir = 'TMK' THEN 1 ELSE 0 END) AS jumlah_tmk FROM vw_pengawasan_v2 WHERE extract(year from tgl_end) = 2025 AND kesimpulan_penilaian_akhir IN ('MK', 'TMK') GROUP BY -- Mengelompokkan berdasarkan semua kategori yang diminta nama_balai, nama_produk, media_iklan, komoditi ORDER BY nama_balai, nama_produk;","SELECT nama_balai, nama_produk, media_iklan, komoditi, SUM(CASE WHEN kesimpulan_penilaian_akhir = 'MK' THEN 1 ELSE 0 END) AS jumlah_mk, SUM(CASE WHEN kesimpulan_penilaian_akhir = 'TMK' THEN 1 ELSE 0 END) AS jumlah_tmk FROM mv_pengawasan WHERE extract(year from tgl_end) = 2025 AND kesimpulan_penilaian_akhir IN ('MK', 'TMK') GROUP BY -- Mengelompokkan berdasarkan semua kategori yang diminta nama_balai, nama_produk, media_iklan, komoditi ORDER BY nama_balai, nama_produk;",""
