"no","generasi","pertanyaan","tabel_dipakai","pakai_agregasi","status_sebelum","status_sesudah","baris_hasil","kode_diagnosa","penjelasan_sebab"
"20","v1","tampilkan persentase media iklan (dibandingkan seluruh iklan yang diawasi pada rentang waktu tertentu) yang diawasi pada upt dengan nama 'balai pom di jakarta' pada rentang waktu antara tanggal '2025-","mv_pengawasan + tgl_start","ya","ERR_SCHEMA","OK","3","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"21","v1","tampilkan rekapitulasi jumlah laporan pengawasan iklan obat masing-masing upt yang telah dikirim ke pusat (berdasarkan tanggal kepala balai) pada periode waktu antara tanggal mulai 20 Juni 2024 hingga","mv_pengawasan","ya","ERR_SCHEMA","OK","56","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"22","v1","tampilkan rekapitulasi jumlah laporan pengawasan iklan obat tradisional; suplemen kesehatan; obat kuasi masing-masing upt yang telah dikirim ke pusat (berdasarkan tanggal kepala balai) pada periode wa","mv_pengawasan","ya","ERR_SCHEMA","OK","7","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"23","v1","tampilkan rekapitulasi jumlah laporan pengawasan iklan pangan masing-masing upt yang telah dikirim ke pusat pada periode waktu antara tanggal 1 januari 2023 dan 31 desember 2025.","mv_pengawasan","ya","ERR_SCHEMA","OK","77","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"24","v1","tampilkan rekapitulasi jumlah laporan pengawasan label pangan masing-masing upt yang telah dikirim ke pusat pada periode waktu antara tanggal mulai dan tanggal selesai 2 minggu","mv_pengawasan","ya","ERR_SCHEMA","OK","72","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"25","v1","tampilkan tren data hasil pengawasan iklan obat pada rentang tahun 2024-2025 berdasarkan hasil verifikasi pusat mk/tmk.","mv_pengawasan","ya","ERR_SCHEMA","OK","6","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"26","v1","tampilkan visualisasi data berupa urutan data yang paling besar iklan yang dilaporkan mk/tmk dari masing-masing upt berdasarkan nama produk, jenis pangan, produsen, kabupaten/provinsi produsen, media ","mv_pengawasan + tgl_end","ya","ERR_SCHEMA","OK","23692","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"27","v2","buatkan data perbedaan hasil pengawasan iklan obat antara hasil verifikasi balai dan hasil verifikasi pusat dalam bentuk grafik dan narasi.","mv_pengawasan","ya","ERR_SCHEMA","OK","4","PULIH_RELASI_NILAI","Pulih setelah penyesuaian relasi + nilai ke skema live"
"28","v2","buatkan data perbedaan hasil pengawasan iklan obat tradisional; suplemen kesehatan; obat kuasi antara hasil verifikasi balai dan hasil verifikasi pusat dalam bentuk grafik dan narasi untuk periode wak","mv_pengawasan","ya","ERR_SCHEMA","ERR_LAIN","","ERR_SQL_RUSAK","SQL rusak sejak asalnya: ERROR: argument of AND must be type boolean, not type record"
"29","v2","tampilkan data berapa jumlah iklan obat tradisional; suplemen kesehatan; obat kuasi yang dilaporkan oleh upt dengan hasil verifikasi pusat mk/tmk.","mv_pengawasan","ya","ERR_SCHEMA","OK","3","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"30","v2","tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat dengan hasil verifikasi balai mk pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu.","mv_pengawasan","tidak","ERR_SCHEMA","OK","9","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"31","v2","tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat dengan hasil verifikasi balai mk pada rentang waktu Januari hingga Juni 2025","mv_pengawasan","tidak","ERR_SCHEMA","OK","622","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"32","v2","tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu.","mv_pengawasan","tidak","ERR_SCHEMA","OK","88","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"33","v2","tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat pada rentang waktu Januari hingga Juni 2025","mv_pengawasan","tidak","ERR_SCHEMA","OK","3331","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"34","v2","tampilkan data iklan yang dilaporkan mk/tmk dari masing-masing upt yang dikategorikan berdasarkan nama produk, industri farmasi, media publikasi, dan golongan obat dengan status selesai pada rentang w","mv_pengawasan","tidak","ERR_SCHEMA","OK","677","PULIH_RELASI_NILAI","Pulih setelah penyesuaian relasi + nilai ke skema live"
"35","v2","tampilkan data label yang dilaporkan mk/tmk dari masing-masing upt yang dikategorikan berdasarkan nama produk, jenis pangan, kategori pangan, produsen, kabupaten/provinsi produsen, pada rentang waktu ","mv_pengawasan","tidak","ERR_SCHEMA","OK","27460","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"36","v2","tampilkan data materi iklan berdasarkan nama produk 'buah' dan nama industri farmasi 'nutrifood' dari masing-masing upt.","mv_pengawasan","tidak","ERR_SCHEMA","OK","20","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"37","v2","tampilkan data materi iklan berdasarkan nama produk tertentu dan nama industri farmasi tertentu dari masing-masing upt.","mv_pengawasan","tidak","ERR_SCHEMA","NOL_BARIS","0","NOL_PLACEHOLDER","Literal masih berupa placeholder template (mis. NAMA_PRODUK_TERTENTU) — pair tidak pernah disubstitusi"
"38","v2","tampilkan data upt yang tidak melaporkan hasil pengawasan iklan dengan hasil verifikasi balai tmk pada tahun 2023.","mv_pengawasan + tgl_start","tidak","ERR_SCHEMA","OK","11","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"39","v2","tampilkan data upt yang tidak melaporkan hasil pengawasan iklan dengan hasil verifikasi balai tmk.","mv_pengawasan","tidak","ERR_SCHEMA","NOL_BARIS","0","NOL_ANTIJOIN_KOSONG","Anti-join: himpunan ""yang tidak pernah"" memang kosong. Nol baris = jawaban benar; ubah bentuk jadi peringkat porsi"
"40","v2","tampilkan data upt yang tidak melaporkan hasil pengawasan iklan dengan hasil verifikasi balai tmk.","mv_pengawasan","tidak","ERR_SCHEMA","NOL_BARIS","0","NOL_ANTIJOIN_KOSONG","Anti-join: himpunan ""yang tidak pernah"" memang kosong. Nol baris = jawaban benar; ubah bentuk jadi peringkat porsi"
"41","v2","tampilkan data upt yang tidak melaporkan hasil pengawasan iklan pada media cetak / media luar ruang pada tahun 2022.","mv_pengawasan + tgl_start","tidak","ERR_SCHEMA","OK","84","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"42","v2","tampilkan data upt yang tidak melaporkan hasil pengawasan iklan pada media cetak / media luar ruang.","mv_pengawasan","tidak","ERR_SCHEMA","OK","1","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"43","v2","tampilkan data upt yang tidak melaporkan hasil pengawasan iklan pada media cetak / media luar ruang.","mv_pengawasan","tidak","ERR_SCHEMA","OK","1","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"44","v2","tampilkan data upt yang tidak melaporkan iklan obat tradisional; suplemen kesehatan; obat kuasi pada tahun 2023.","mv_pengawasan + tgl_start","tidak","ERR_SCHEMA","OK","11","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"45","v2","tampilkan data upt yang tidak melaporkan iklan obat tradisional; suplemen kesehatan; obat kuasi.","mv_pengawasan","tidak","ERR_SCHEMA","OK","1","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"46","v2","tampilkan list data lokasi iklan yang diperiksa lebih dari sekali","mv_pengawasan","ya","ERR_SCHEMA","OK","20525","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"47","v2","tampilkan persentase kategori pangan yang tmk pada rentang waktu 2025 (baik secara nasional maupun per upt).","mv_pengawasan","ya","ERR_SCHEMA","OK","4","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"48","v2","tampilkan persentase media iklan (dibandingkan seluruh iklan yang diawasi pada rentang waktu tertentu) yang diawasi pada upt dengan nama 'balai pom di jakarta' pada rentang waktu antara tanggal '2025-","mv_pengawasan","ya","ERR_SCHEMA","OK","3","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"49","v2","tampilkan tren data hasil pengawasan iklan obat pada rentang tahun 2024-2025 berdasarkan hasil verifikasi pusat mk/tmk.","tgl_start + mv_pengawasan","ya","ERR_SCHEMA","OK","4","PULIH_RELASI_NILAI","Pulih setelah penyesuaian relasi + nilai ke skema live"
"50","v2","tampilkan tren data hasil pengawasan iklan obat tradisional; suplemen kesehatan; obat kuasi pada rentang tahun 2024-2025 berdasarkan hasil verifikasi pusat mk/tmk","tgl_start + mv_pengawasan","ya","ERR_SCHEMA","OK","2","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"51","v2","tampilkan tren data hasil pengawasan iklan pangan (mk/tmk) pada rentang tahun 2025 berdasarkan hasil verifikasi upt","tgl_start + mv_pengawasan","ya","ERR_SCHEMA","OK","36","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"52","v2","tampilkan visualisasi data berupa urutan data yang paling besar dari hasil pengawasan label pangan yang dilaporkan tmk dari masing-masing upt yang dikategorikan berdasarkan nama produk, jenis pangan, ","mv_pengawasan + tgl_start","ya","ERR_SCHEMA","OK","7156","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"53","v3","Berdasarkan kabupaten/kota, tampilkan jumlah perbedaan kesimpulan balai dengan pusat saat kesimpulan penilaian akhir = TMK","mv_pengawasan","ya","ERR_SCHEMA","ERR_SCHEMA","","ERR_KOLOM_DIHAPUS","Kolom mp.kabupaten sudah dihapus dari skema live (provinsi/kabupaten) — tidak bisa ditulis ulang, NOT COVERED"
"54","v3","Berdasarkan produsen Kao Indonesia, tampilkan berapa jumlah iklan yang dilaporkan MK atau TMK beserta jumlah perbedaan antara kesimpulan balai dengan pusat","mv_pengawasan","ya","OK","OK","10","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"55","v3","buatkan data perbedaan hasil pengawasan iklan obat antara hasil verifikasi balai dan hasil verifikasi pusat dalam bentuk grafik dan narasi.","mv_pengawasan","ya","OK","OK","4","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"56","v3","buatkan data perbedaan hasil pengawasan iklan obat tradisional; suplemen kesehatan; obat kuasi antara hasil verifikasi balai dan hasil verifikasi pusat dalam bentuk grafik dan narasi untuk periode wak","mv_pengawasan","ya","ERR_LAIN","ERR_LAIN","","ERR_SQL_RUSAK","SQL rusak sejak asalnya: ERROR: argument of AND must be type boolean, not type record"
"57","v3","tampilkan data berapa jumlah iklan obat tradisional; suplemen kesehatan; obat kuasi yang dilaporkan oleh upt dengan hasil verifikasi pusat mk/tmk.","mv_pengawasan","ya","OK","OK","3","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"58","v3","Tampilkan data berupa jumlah iklan obat keras yang dilaporkan oleh UPT dengan hasil verifikasi pusat MK/TMK pada tahun 2025","mv_pengawasan + mp","ya","OK","OK","611","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"59","v3","Tampilkan data capaian UPT berdasarkan jumlah laporan yang dikirimkan ke pusat (tanggal kepala balai) dibandingkan dengan target yang sudah ditetapkan untuk masing-masing UPT","target_balai + mp + mv_pengawasan + current_date + laporan_dikirim + latest_target_year","ya","OK","OK","494","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"60","v3","tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat dengan hasil verifikasi balai mk pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu.","mv_pengawasan","tidak","OK","OK","9","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"61","v3","tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat dengan hasil verifikasi balai mk pada rentang waktu Januari hingga Juni 2025","mv_pengawasan","tidak","OK","OK","622","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"62","v3","tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu.","mv_pengawasan","tidak","OK","OK","88","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"63","v3","tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat pada rentang waktu Januari hingga Juni 2025","mv_pengawasan","tidak","OK","OK","3331","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"64","v3","Tampilkan data hasil pengawasan iklan berdasarkan hasil verifikasi balai TMK yang statusnya belum ada tanggal direktur (belum selesai) pada tahun 2025","mv_pengawasan + mv_pengawasan_timeline + mp","tidak","OK","OK","11","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"65","v3","Tampilkan data hasil pengawasan TMK berdasarkan klausul pelanggaran secara keseluruhan, masing-masing UPT, media iklan pada komoditi pangan dan rentang waktu 2025","mv_pengawasan + mv_pengawasan_ketidaksesuaian + mp","ya","OK","OK","720","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"66","v3","tampilkan data iklan yang dilaporkan mk/tmk dari masing-masing upt yang dikategorikan berdasarkan nama produk, industri farmasi, media publikasi, dan golongan obat dengan status selesai pada rentang w","mv_pengawasan","tidak","OK","OK","677","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"67","v3","Tampilkan data ketepatan waktu pelaporan oleh UPT yang dihitung berdasarkan laporan yang dikirimkan tanggal kepala balai sebelum batas tanggal 9 bulan berikutnya untuk tahun 2025","mv_pengawasan + mv_pengawasan_timeline + mpt","ya","OK","OK","76","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"68","v3","tampilkan data label yang dilaporkan mk/tmk dari masing-masing upt yang dikategorikan berdasarkan nama produk, jenis pangan, kategori pangan, produsen, kabupaten/provinsi produsen, pada rentang waktu ","mv_pengawasan","tidak","OK","OK","27460","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"69","v3","tampilkan data materi iklan berdasarkan nama produk 'buah' dan nama industri farmasi 'nutrifood' dari masing-masing upt.","mv_pengawasan","tidak","OK","OK","20","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"70","v3","Tampilkan data pemenuhan timeline pengawasan oleh masing-masing UPT yang dapat diukur sejak tanggal pemeriksaan sampai dengan tanggal laporan dikirim ke Pusat oleh Kepala UPT","mv_pengawasan_timeline","tidak","OK","OK","228278","OK_TAPI_RAKSASA","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah. TAPI hasilnya 228,278 baris tanpa agregasi — jalan, bukan jawaban"
"71","v3","Tampilkan data pemenuhan timeline untuk masing-masing laporan pengawasan iklan yang dihitung dari tanggal kepala balai hingga tanggal direktur","mv_pengawasan_timeline","tidak","OK","OK","190017","OK_TAPI_RAKSASA","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah. TAPI hasilnya 190,017 baris tanpa agregasi — jalan, bukan jawaban"
"72","v3","Tampilkan data pemenuhan timeline untuk masing-masing laporan pengawasan iklan yang dihitung dari tanggal sampling/pemeriksaan hingga tanggal direktur","mv_pengawasan_timeline","tidak","OK","OK","190017","OK_TAPI_RAKSASA","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah. TAPI hasilnya 190,017 baris tanpa agregasi — jalan, bukan jawaban"
"73","v3","tampilkan data upt yang tidak melaporkan hasil pengawasan iklan dengan hasil verifikasi balai tmk pada tahun 2023.","mv_pengawasan + tgl_start","tidak","OK","OK","11","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"74","v3","tampilkan data upt yang tidak melaporkan hasil pengawasan iklan dengan hasil verifikasi balai tmk pada tahun 2023.","mv_pengawasan + tgl_start","tidak","OK","OK","11","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"75","v3","tampilkan data upt yang tidak melaporkan hasil pengawasan iklan pada media cetak / media luar ruang pada tahun 2022.","mv_pengawasan + tgl_start","tidak","OK","OK","84","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"76","v3","tampilkan data upt yang tidak melaporkan hasil pengawasan iklan pada media cetak / media luar ruang pada tahun 2022.","mv_pengawasan + tgl_start","tidak","OK","OK","84","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"77","v3","tampilkan data upt yang tidak melaporkan iklan obat tradisional; suplemen kesehatan; obat kuasi pada tahun 2023.","mv_pengawasan + tgl_start","tidak","OK","OK","11","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"78","v3","Tampilkan jumlah iklan tepat waktu yang telah dikirimkan ke pusat pada UPT tertentu pada tahun 2025 Hasil pengawasan iklan dikirimkan ke pusat maksimal tanggal 10 bulan berikutnya","mv_pengawasan + mv_pengawasan_timeline + mpt","ya","OK","OK","76","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"79","v3","tampilkan list data lokasi iklan yang diperiksa lebih dari sekali","mv_pengawasan","ya","OK","OK","20525","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"80","v3","tampilkan persentase kategori pangan yang tmk pada rentang waktu 2025 (baik secara nasional maupun per upt).","mv_pengawasan","ya","OK","OK","4","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"81","v3","tampilkan persentase media iklan (dibandingkan seluruh iklan yang diawasi pada rentang waktu tertentu) yang diawasi pada upt dengan nama 'balai pom di jakarta' pada rentang waktu antara tanggal '2025-","mv_pengawasan","ya","OK","OK","3","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"82","v3","Tampilkan persentase penilaian UPT (MK, TMK, TMK Mayor, TMK Minor) untuk komoditi pangan pada tiap UPT","mv_pengawasan + data_penilaian","ya","OK","OK","244","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"83","v3","Tampilkan rekapitulasi jumlah laporan pengawasan iklan obat masing-masing UPT yang telah dikirim Pusat (berdasarkan tanggal kepala balai) pada tahun 2025","mv_pengawasan + mv_pengawasan_timeline + mp","ya","OK","OK","2929","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"84","v3","tampilkan tren data hasil pengawasan iklan obat pada rentang tahun 2024-2025 berdasarkan hasil verifikasi pusat mk/tmk.","tgl_start + mv_pengawasan","ya","OK","OK","4","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"85","v3","tampilkan tren data hasil pengawasan iklan obat tradisional; suplemen kesehatan; obat kuasi pada rentang tahun 2024-2025 berdasarkan hasil verifikasi pusat mk/tmk","tgl_start + mv_pengawasan","ya","OK","OK","2","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"86","v3","tampilkan tren data hasil pengawasan iklan pangan (mk/tmk) pada rentang tahun 2025 berdasarkan hasil verifikasi upt","tgl_start + mv_pengawasan","ya","OK","OK","36","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"87","v3","tampilkan tren data hasil pengawasan iklan pangan (mk/tmk) pada rentang tahun 2025 berdasarkan hasil verifikasi upt","tgl_start + mv_pengawasan","ya","OK","OK","36","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"88","v3","tampilkan visualisasi data berupa urutan data yang paling besar dari hasil pengawasan label pangan yang dilaporkan tmk dari masing-masing upt yang dikategorikan berdasarkan nama produk, jenis pangan, ","mv_pengawasan + tgl_start","ya","OK","OK","7156","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
